Date,CloudProvider,Service,Region,Resource,UsageType,UsageQuantity,UnitCost,TotalCost,IsAnomaly
2025-09-02,GCP,Compute Engine,asia-east1,gcp-k8s-worker-2,n2-standard-4,23.07,0.194,4.4751,0
2025-09-02,Azure,Azure VM,southeastasia,vm-api-prod-02,Standard_D4s_v3,24.45,0.192,4.6952,0
2025-09-02,GCP,Cloud SQL,asia-east1,gcp-main-postgres-db,db-custom-2-7680,20.32,0.35,7.1108,0
2025-09-02,Azure,Azure Storage,southeastasia,stappprodlogs001,BlobStorage-GB,1104.05,0.02,22.081,0
2025-09-02,AWS,EBS,ap-southeast-1,vol-0123456789abcdef0,VolumeUsage.gp3,416.84,0.08,33.347,0
2025-09-02,GCP,Cloud SQL,asia-east1,gcp-main-postgres-db,db-custom-2-7680,22.52,0.35,7.8809,0
2025-09-02,AWS,S3,eu-west-1,prod-analytics-data-dump,StandardStorage-GB,807.32,0.023,18.5685,0
2025-09-03,AWS,S3,ap-southeast-1,prod-analytics-data-dump,StandardStorage-GB,1158.91,0.023,26.655,0
2025-09-03,GCP,Cloud SQL,europe-west1,gcp-main-postgres-db,db-custom-2-7680,22.26,0.35,7.7905,0
2025-09-03,GCP,Compute Engine,asia-east1,gcp-k8s-worker-1,n2-standard-4,20.69,0.194,4.0142,0
2025-09-03,AWS,S3,ap-southeast-1,prod-analytics-data-dump,StandardStorage-GB,1155.43,0.023,26.575,0
2025-09-03,GCP,Compute Engine,us-central1,gcp-k8s-worker-1,n2-standard-4,22.11,0.194,4.2899,0
2025-09-03,AWS,EBS,us-east-1,vol-0fe0d1c2b3a498765,VolumeUsage.gp3,123.9,0.08,9.9123,0
2025-09-03,AWS,S3,ap-southeast-1,user-media-storage-bucket,StandardStorage-GB,759.96,0.023,17.479,0
2025-09-03,Azure,Azure Storage,westeurope,stbackupdata002,BlobStorage-GB,558.69,0.02,11.1737,0
2025-09-03,AWS,RDS,ap-southeast-1,prod-db-cluster-primary,InstanceUsage:db.m5.large,22.5,0.38,8.5508,0
2025-09-03,AWS,S3,us-west-2,prod-analytics-data-dump,StandardStorage-GB,754.5,0.023,17.3535,0
2025-09-03,GCP,Compute Engine,us-central1,gcp-k8s-worker-1,n2-standard-4,24.83,0.194,4.8161,0
2025-09-03,GCP,Compute Engine,asia-east1,gcp-k8s-worker-1,n2-standard-4,18.78,0.194,3.6431,0
2025-09-03,AWS,EC2,us-east-1,i-0d1e2f3a4b5c6,BoxUsage:t3.xlarge,19.95,0.1664,3.3199,0
2025-09-03,AWS,EBS,ap-southeast-1,vol-0123456789abcdef0,VolumeUsage.gp3,426.58,0.08,34.1261,0
2025-09-03,AWS,EBS,us-west-2,vol-0fe0d1c2b3a498765,VolumeUsage.gp3,357.09,0.08,28.5669,0
2025-09-03,GCP,Compute Engine,us-central1,gcp-k8s-worker-1,n2-standard-4,24.27,0.194,4.7089,0
2025-09-04,GCP,Cloud SQL,asia-east1,gcp-main-postgres-db,db-custom-2-7680,23.08,0.35,8.0766,0
2025-09-04,AWS,RDS,us-west-2,prod-db-cluster-primary,InstanceUsage:db.m5.large,22.34,0.38,8.4885,0
2025-09-04,GCP,Compute Engine,europe-west1,gcp-k8s-worker-1,n2-standard-4,18.0,0.194,3.4926,0
2025-09-04,AWS,EC2,us-east-1,i-0b7e6d5c4b3a2,BoxUsage:t3.xlarge,21.98,0.1664,3.6578,0
2025-09-04,Azure,Azure VM,southeastasia,vm-api-prod-02,Standard_D4s_v3,21.16,0.192,4.0619,0
2025-09-04,Azure,Azure VM,eastus,vm-api-prod-02,Standard_D4s_v3,22.94,0.192,4.4045,0
2025-09-04,Azure,Azure Storage,westeurope,stappprodlogs001,BlobStorage-GB,497.7,0.02,9.9539,0
2025-09-04,AWS,S3,ap-southeast-1,prod-analytics-data-dump,StandardStorage-GB,481.01,0.023,11.0632,0
2025-09-04,AWS,RDS,us-east-1,prod-db-cluster-primary,InstanceUsage:db.m5.large,22.18,0.38,8.4279,0
2025-09-04,GCP,Compute Engine,asia-east1,gcp-k8s-worker-2,n2-standard-4,22.65,0.194,4.395,0
2025-09-04,AWS,Lambda,eu-west-1,event-processor,RequestCount,812918.21,2e-07,0.1626,0
2025-09-04,Azure,Azure VM,westeurope,vm-web-prod-01,Standard_D4s_v3,22.98,0.192,4.4114,0
2025-09-04,AWS,EC2,ap-southeast-1,i-0a8f9c1d2e3f4,BoxUsage:t3.xlarge,17.91,0.1664,2.9804,0
2025-09-04,Azure,Azure VM,southeastasia,vm-api-prod-02,Standard_D4s_v3,21.63,0.192,4.1529,0
2025-09-04,Azure,Azure VM,southeastasia,vm-api-prod-02,Standard_D4s_v3,19.48,0.192,3.7398,0
2025-09-05,Azure,Azure VM,southeastasia,vm-web-prod-01,Standard_D4s_v3,20.02,0.192,3.8444,0
2025-09-05,GCP,Cloud SQL,europe-west1,gcp-main-postgres-db,db-custom-2-7680,21.15,0.35,7.4014,0
2025-09-05,GCP,Cloud SQL,europe-west1,gcp-main-postgres-db,db-custom-2-7680,20.61,0.35,7.2118,0
2025-09-05,AWS,Lambda,ap-southeast-1,event-processor,RequestCount,603363.46,2e-07,0.1207,0
2025-09-05,Azure,Azure Storage,westeurope,stbackupdata002,BlobStorage-GB,1173.28,0.02,23.4656,0
2025-09-05,Azure,Azure Storage,southeastasia,stappprodlogs001,BlobStorage-GB,1167.93,0.02,23.3587,0
2025-09-05,GCP,Compute Engine,europe-west1,gcp-k8s-worker-2,n2-standard-4,18.72,0.194,3.6322,0
2025-09-05,Azure,Azure VM,southeastasia,vm-api-prod-02,Standard_D4s_v3,18.78,0.192,3.6051,0
2025-09-05,GCP,Cloud SQL,us-central1,gcp-main-postgres-db,db-custom-2-7680,22.04,0.35,7.7156,0
2025-09-05,GCP,Cloud SQL,us-central1,gcp-main-postgres-db,db-custom-2-7680,22.95,0.35,8.032,0
2025-09-05,Azure,Azure VM,westeurope,vm-api-prod-02,Standard_D4s_v3,21.63,0.192,4.1531,0
2025-09-05,Azure,Azure VM,eastus,vm-web-prod-01,Standard_D4s_v3,21.74,0.192,4.1735,0
2025-09-05,AWS,Lambda,us-west-2,auth-token-verifier,RequestCount,668944.54,2e-07,0.1338,0
2025-09-05,GCP,Compute Engine,europe-west1,gcp-k8s-worker-1,n2-standard-4,21.83,0.194,4.2349,0
2025-09-05,Azure,Azure Storage,southeastasia,stappprodlogs001,BlobStorage-GB,830.02,0.02,16.6004,0
2025-09-06,GCP,Cloud SQL,asia-east1,gcp-main-postgres-db,db-custom-2-7680,20.21,0.35,7.073,0
2025-09-06,Azure,Azure Storage,southeastasia,stappprodlogs001,BlobStorage-GB,915.77,0.02,18.3155,0
2025-09-06,GCP,Cloud SQL,europe-west1,gcp-main-postgres-db,db-custom-2-7680,23.29,0.35,8.152,0
2025-09-06,AWS,Lambda,ap-southeast-1,event-processor,RequestCount,725620.06,2e-07,0.1451,0
2025-09-06,AWS,Lambda,ap-southeast-1,image-resizer-worker,RequestCount,475786.41,2e-07,0.0952,0
2025-09-06,Azure,Azure VM,westeurope,vm-api-prod-02,Standard_D4s_v3,20.0,0.192,3.84,0
2025-09-06,Azure,Azure Storage,westeurope,stappprodlogs001,BlobStorage-GB,1294.37,0.02,25.8874,0
2025-09-06,AWS,S3,us-west-2,user-media-storage-bucket,StandardStorage-GB,943.63,0.023,21.7036,0
2025-09-06,AWS,Lambda,eu-west-1,image-resizer-worker,RequestCount,540453.08,2e-07,0.1081,0
2025-09-06,Azure,Azure VM,eastus,vm-api-prod-02,Standard_D4s_v3,18.77,0.192,3.6034,0
2025-09-06,AWS,EC2,us-west-2,i-0d1e2f3a4b5c6,BoxUsage:t3.xlarge,22.25,0.1664,3.7027,0
2025-09-06,Azure,Azure Storage,southeastasia,stappprodlogs001,BlobStorage-GB,1176.37,0.02,23.5274,0
2025-09-06,GCP,Cloud SQL,asia-east1,gcp-main-postgres-db,db-custom-2-7680,24.16,0.35,8.4577,0
2025-09-06,AWS,Lambda,us-west-2,auth-token-verifier,RequestCount,675863.44,2e-07,0.1352,0
2025-09-06,Azure,Azure VM,southeastasia,vm-web-prod-01,Standard_D4s_v3,22.61,0.192,4.3412,0
2025-09-06,Azure,Azure VM,eastus,vm-web-prod-01,Standard_D4s_v3,24.2,0.192,4.6468,0
2025-09-07,AWS,EBS,eu-west-1,vol-0123456789abcdef0,VolumeUsage.gp3,454.01,0.08,36.3206,0
2025-09-07,AWS,Lambda,eu-west-1,event-processor,RequestCount,721187.23,2e-07,0.1442,0
2025-09-07,AWS,EBS,us-east-1,vol-0fe0d1c2b3a498765,VolumeUsage.gp3,318.16,0.08,25.4526,0
2025-09-07,GCP,Compute Engine,us-central1,gcp-k8s-worker-2,n2-standard-4,23.33,0.194,4.5264,0
2025-09-07,Azure,Azure Storage,westeurope,stappprodlogs001,BlobStorage-GB,492.82,0.02,9.8564,0
2025-09-07,AWS,Lambda,eu-west-1,image-resizer-worker,RequestCount,219784.52,2e-07,0.044,0
2025-09-07,AWS,S3,us-west-2,user-media-storage-bucket,StandardStorage-GB,908.28,0.023,20.8905,0
2025-09-07,GCP,Compute Engine,us-central1,gcp-k8s-worker-2,n2-standard-4,17.77,0.194,3.4465,0
2025-09-07,GCP,Compute Engine,europe-west1,gcp-k8s-worker-1,n2-standard-4,22.52,0.194,4.3681,0
2025-09-07,Azure,Azure Storage,westeurope,stbackupdata002,BlobStorage-GB,1314.49,0.02,26.2897,0
2025-09-07,AWS,RDS,ap-southeast-1,analytics-read-replica,InstanceUsage:db.m5.large,20.49,0.38,7.7858,0
2025-09-07,GCP,Compute Engine,us-central1,gcp-k8s-worker-2,n2-standard-4,18.74,0.194,3.6352,0
2025-09-07,AWS,Lambda,us-west-2,event-processor,RequestCount,493170.35,2e-07,0.0986,0
2025-09-07,AWS,Lambda,eu-west-1,event-processor,RequestCount,569893.71,2e-07,0.114,0
2025-09-07,GCP,Compute Engine,us-central1,gcp-k8s-worker-1,n2-standard-4,18.28,0.194,3.5462,0
2025-09-08,GCP,Compute Engine,europe-west1,gcp-k8s-worker-2,n2-standard-4,20.9,0.194,4.0555,0
2025-09-08,Azure,Azure VM,southeastasia,vm-web-prod-01,Standard_D4s_v3,20.58,0.192,3.9517,0
2025-09-08,GCP,Cloud SQL,us-central1,gcp-main-postgres-db,db-custom-2-7680,20.89,0.35,7.3099,0
2025-09-08,GCP,Compute Engine,us-central1,gcp-k8s-worker-1,n2-standard-4,21.93,0.194,4.2542,0
2025-09-08,AWS,S3,eu-west-1,prod-analytics-data-dump,StandardStorage-GB,1012.26,0.023,23.282,0
2025-09-08,Azure,Azure Storage,westeurope,stbackupdata002,BlobStorage-GB,680.66,0.02,13.6132,0
2025-09-08,GCP,Cloud SQL,europe-west1,gcp-main-postgres-db,db-custom-2-7680,19.8,0.35,6.931,0
2025-09-08,Azure,Azure Storage,westeurope,stbackupdata002,BlobStorage-GB,735.34,0.02,14.7067,0
2025-09-08,GCP,Cloud SQL,asia-east1,gcp-main-postgres-db,db-custom-2-7680,21.39,0.35,7.4859,0
2025-09-08,Azure,Azure VM,westeurope,vm-api-prod-02,Standard_D4s_v3,20.8,0.192,3.994,0
2025-09-08,GCP,Cloud SQL,europe-west1,gcp-main-postgres-db,db-custom-2-7680,21.6,0.35,7.5584,0
2025-09-08,AWS,RDS,ap-southeast-1,prod-db-cluster-primary,InstanceUsage:db.m5.large,23.16,0.38,8.801,0
2025-09-08,Azure,Azure VM,southeastasia,vm-api-prod-02,Standard_D4s_v3,22.61,0.192,4.3412,0
2025-09-08,AWS,Lambda,ap-southeast-1,event-processor,RequestCount,642737.28,2e-07,0.1285,0
2025-09-09,Azure,Azure Storage,eastus,stappprodlogs001,BlobStorage-GB,701.34,0.02,14.0269,0
2025-09-09,Azure,Azure Storage,southeastasia,stbackupdata002,BlobStorage-GB,890.17,0.02,17.8034,0
2025-09-09,GCP,Cloud SQL,europe-west1,gcp-main-postgres-db,db-custom-2-7680,21.44,0.35,7.5045,0
2025-09-09,Azure,Azure VM,eastus,vm-web-prod-01,Standard_D4s_v3,18.63,0.192,3.5778,0
2025-09-09,GCP,Compute Engine,europe-west1,gcp-k8s-worker-1,n2-standard-4,21.58,0.194,4.1873,0
2025-09-09,Azure,Azure VM,southeastasia,vm-web-prod-01,Standard_D4s_v3,24.22,0.192,4.6498,0
2025-09-09,Azure,Azure Storage,southeastasia,stbackupdata002,BlobStorage-GB,416.84,0.02,8.3367,0
2025-09-09,GCP,Compute Engine,us-central1,gcp-k8s-worker-1,n2-standard-4,20.84,0.194,4.0424,0
2025-09-09,GCP,Cloud SQL,europe-west1,gcp-main-postgres-db,db-custom-2-7680,22.98,0.35,8.0426,0
2025-09-09,GCP,Compute Engine,asia-east1,gcp-k8s-worker-2,n2-standard-4,20.58,0.194,3.9928,0
2025-09-09,AWS,S3,us-east-1,app-logs-archive,StandardStorage-GB,998.5,0.023,22.9656,0
2025-09-09,GCP,Compute Engine,us-central1,gcp-k8s-worker-1,n2-standard-4,23.9,0.194,4.636,0
2025-09-09,Azure,Azure Storage,eastus,stappprodlogs001,BlobStorage-GB,804.97,0.02,16.0994,0
2025-09-09,Azure,Azure Storage,westeurope,stbackupdata002,BlobStorage-GB,810.85,0.02,16.2169,0
2025-09-09,Azure,Azure VM,southeastasia,vm-api-prod-02,Standard_D4s_v3,17.71,0.192,3.4007,0
2025-09-09,AWS,S3,eu-west-1,app-logs-archive,StandardStorage-GB,363.37,0.023,8.3574,0
2025-09-10,Azure,Azure Storage,eastus,stbackupdata002,BlobStorage-GB,1239.11,0.02,24.7822,0
2025-09-10,GCP,Compute Engine,us-central1,gcp-k8s-worker-2,n2-standard-4,23.44,0.194,4.5478,0
2025-09-10,Azure,Azure VM,westeurope,vm-web-prod-01,Standard_D4s_v3,21.16,0.192,4.062,0
2025-09-10,GCP,Cloud SQL,asia-east1,gcp-main-postgres-db,db-custom-2-7680,21.62,0.35,7.5677,0
2025-09-10,AWS,EC2,ap-southeast-1,i-0a8f9c1d2e3f4,BoxUsage:t3.xlarge,21.13,0.1664,3.5165,0
2025-09-10,AWS,S3,eu-west-1,app-logs-archive,StandardStorage-GB,309.44,0.023,7.117,0
2025-09-10,Azure,Azure Storage,eastus,stappprodlogs001,BlobStorage-GB,1486.47,0.02,29.7294,0
2025-09-10,GCP,Cloud SQL,us-central1,gcp-main-postgres-db,db-custom-2-7680,21.81,0.35,7.6324,0
2025-09-10,Azure,Azure VM,eastus,vm-api-prod-02,Standard_D4s_v3,21.74,0.192,4.1735,0
2025-09-10,Azure,Azure VM,westeurope,vm-web-prod-01,Standard_D4s_v3,22.04,0.192,4.2324,0
2025-09-10,GCP,Cloud SQL,asia-east1,gcp-main-postgres-db,db-custom-2-7680,21.42,0.35,7.4953,0
2025-09-10,GCP,Compute Engine,us-central1,gcp-k8s-worker-2,n2-standard-4,20.46,0.194,3.9694,0
2025-09-10,GCP,Cloud SQL,us-central1,gcp-main-postgres-db,db-custom-2-7680,21.03,0.35,7.3617,0
2025-09-10,AWS,Lambda,ap-southeast-1,image-resizer-worker,RequestCount,228979.74,2e-07,0.0458,0
2025-09-10,GCP,Compute Engine,asia-east1,gcp-k8s-worker-2,n2-standard-4,22.02,0.194,4.2728,0
2025-09-10,Azure,Azure VM,eastus,vm-api-prod-02,Standard_D4s_v3,22.21,0.192,4.2645,0
2025-09-11,Azure,Azure Storage,southeastasia,stbackupdata002,BlobStorage-GB,884.66,0.02,17.6932,0
2025-09-11,Azure,Azure VM,eastus,vm-api-prod-02,Standard_D4s_v3,24.82,0.192,4.7663,0
2025-09-11,Azure,Azure Storage,southeastasia,stappprodlogs001,BlobStorage-GB,1383.97,0.02,27.6795,0
2025-09-11,Azure,Azure VM,westeurope,vm-web-prod-01,Standard_D4s_v3,19.66,0.192,3.7742,0
2025-09-11,AWS,EBS,ap-southeast-1,vol-0123456789abcdef0,VolumeUsage.gp3,160.92,0.08,12.8734,0
2025-09-11,AWS,RDS,us-east-1,analytics-read-replica,InstanceUsage:db.m5.large,21.28,0.38,8.087,0
2025-09-11,AWS,EC2,ap-southeast-1,i-0b7e6d5c4b3a2,BoxUsage:t3.xlarge,23.05,0.1664,3.8362,0
2025-09-11,AWS,S3,eu-west-1,prod-analytics-data-dump,StandardStorage-GB,965.67,0.023,22.2104,0
2025-09-11,GCP,Cloud SQL,europe-west1,gcp-main-postgres-db,db-custom-2-7680,22.4,0.35,7.8399,0
2025-09-11,GCP,Compute Engine,europe-west1,gcp-k8s-worker-1,n2-standard-4,18.97,0.194,3.6801,0
2025-09-11,Azure,Azure VM,westeurope,vm-web-prod-01,Standard_D4s_v3,21.07,0.192,4.0452,0
2025-09-11,GCP,Compute Engine,europe-west1,gcp-k8s-worker-1,n2-standard-4,19.63,0.194,3.8088,0
2025-09-11,Azure,Azure Storage,southeastasia,stbackupdata002,BlobStorage-GB,838.19,0.02,16.7638,0
2025-09-11,AWS,EBS,ap-southeast-1,vol-0123456789abcdef0,VolumeUsage.gp3,438.46,0.08,35.077,0
2025-09-11,GCP,Cloud SQL,europe-west1,gcp-main-postgres-db,db-custom-2-7680,24.61,0.35,8.6131,0
2025-09-11,Azure,Azure Storage,southeastasia,stbackupdata002,BlobStorage-GB,1154.04,0.02,23.0807,0
2025-09-12,AWS,S3,us-west-2,app-logs-archive,StandardStorage-GB,997.48,0.023,22.9421,0
2025-09-12,Azure,Azure Storage,southeastasia,stbackupdata002,BlobStorage-GB,504.32,0.02,10.0864,0
2025-09-12,GCP,Cloud SQL,asia-east1,gcp-main-postgres-db,db-custom-2-7680,22.9,0.35,8.0136,0
2025-09-12,Azure,Azure VM,southeastasia,vm-web-prod-01,Standard_D4s_v3,21.08,0.192,4.0472,0
2025-09-12,Azure,Azure Storage,southeastasia,stbackupdata002,BlobStorage-GB,1076.65,0.02,21.533,0
2025-09-12,GCP,Cloud SQL,us-central1,gcp-main-postgres-db,db-custom-2-7680,20.13,0.35,7.0467,0
2025-09-12,Azure,Azure Storage,southeastasia,stbackupdata002,BlobStorage-GB,1280.59,0.02,25.6118,0
2025-09-12,Azure,Azure VM,eastus,vm-api-prod-02,Standard_D4s_v3,21.59,0.192,4.1453,0
2025-09-12,Azure,Azure Storage,southeastasia,stbackupdata002,BlobStorage-GB,571.38,0.02,11.4276,0
2025-09-12,Azure,Azure Storage,eastus,stbackupdata002,BlobStorage-GB,1156.19,0.02,23.1237,0
2025-09-12,GCP,Compute Engine,asia-east1,gcp-k8s-worker-1,n2-standard-4,23.76,0.194,4.61,0
2025-09-12,AWS,EBS,eu-west-1,vol-0123456789abcdef0,VolumeUsage.gp3,358.94,0.08,28.715,0
2025-09-12,GCP,Compute Engine,asia-east1,gcp-k8s-worker-2,n2-standard-4,23.93,0.194,4.6418,0
2025-09-12,GCP,Cloud SQL,us-central1,gcp-main-postgres-db,db-custom-2-7680,21.24,0.35,7.4337,0
2025-09-12,GCP,Cloud SQL,asia-east1,gcp-main-postgres-db,db-custom-2-7680,22.75,0.35,7.9636,0
2025-09-13,Azure,Azure Storage,westeurope,stappprodlogs001,BlobStorage-GB,872.23,0.02,17.4445,0
2025-09-13,Azure,Azure VM,eastus,vm-api-prod-02,Standard_D4s_v3,21.68,0.192,4.1625,0
2025-09-13,AWS,EC2,eu-west-1,i-0b7e6d5c4b3a2,BoxUsage:t3.xlarge,20.49,0.1664,3.4091,0
2025-09-13,AWS,EBS,eu-west-1,vol-0123456789abcdef0,VolumeUsage.gp3,149.25,0.08,11.9397,0
2025-09-13,AWS,EBS,us-east-1,vol-0fe0d1c2b3a498765,VolumeUsage.gp3,427.61,0.08,34.2086,0
2025-09-13,AWS,EC2,us-west-2,i-0b7e6d5c4b3a2,BoxUsage:t3.xlarge,22.27,0.1664,3.7056,0
2025-09-13,AWS,EC2,eu-west-1,i-0b7e6d5c4b3a2,BoxUsage:t3.xlarge,24.62,0.1664,4.0962,0
2025-09-13,Azure,Azure VM,westeurope,vm-api-prod-02,Standard_D4s_v3,18.42,0.192,3.536,0
2025-09-13,Azure,Azure VM,southeastasia,vm-api-prod-02,Standard_D4s_v3,22.29,0.192,4.279,0
2025-09-13,GCP,Cloud SQL,us-central1,gcp-main-postgres-db,db-custom-2-7680,21.21,0.35,7.4218,0
2025-09-13,Azure,Azure VM,westeurope,vm-api-prod-02,Standard_D4s_v3,23.11,0.192,4.437,0
2025-09-13,Azure,Azure Storage,westeurope,stbackupdata002,BlobStorage-GB,1069.77,0.02,21.3955,0
2025-09-13,Azure,Azure Storage,eastus,stappprodlogs001,BlobStorage-GB,660.75,0.02,13.215,0
2025-09-13,Azure,Azure VM,southeastasia,vm-web-prod-01,Standard_D4s_v3,22.06,0.192,4.236,0
2025-09-14,GCP,Cloud SQL,asia-east1,gcp-main-postgres-db,db-custom-2-7680,24.11,0.35,8.4384,0
2025-09-14,AWS,EBS,us-west-2,vol-0fe0d1c2b3a498765,VolumeUsage.gp3,263.67,0.08,21.0934,0
2025-09-14,GCP,Cloud SQL,us-central1,gcp-main-postgres-db,db-custom-2-7680,24.04,0.35,8.4151,0
2025-09-14,Azure,Azure Storage,westeurope,stappprodlogs001,BlobStorage-GB,578.16,0.02,11.5632,0
2025-09-14,Azure,Azure VM,southeastasia,vm-api-prod-02,Standard_D4s_v3,17.76,0.192,3.4095,0
2025-09-14,AWS,RDS,eu-west-1,prod-db-cluster-primary,InstanceUsage:db.m5.large,23.22,0.38,8.8239,0
2025-09-14,Azure,Azure VM,southeastasia,vm-web-prod-01,Standard_D4s_v3,18.9,0.192,3.6281,0
2025-09-14,AWS,EBS,us-east-1,vol-0fe0d1c2b3a498765,VolumeUsage.gp3,364.73,0.08,29.1782,0
2025-09-14,AWS,EBS,eu-west-1,vol-0fe0d1c2b3a498765,VolumeUsage.gp3,340.59,0.08,27.2469,0
2025-09-14,Azure,Azure Storage,westeurope,stappprodlogs001,BlobStorage-GB,1152.53,0.02,23.0505,0
2025-09-14,Azure,Azure Storage,westeurope,stbackupdata002,BlobStorage-GB,1180.03,0.02,23.6006,0
2025-09-14,AWS,EC2,us-west-2,i-0d1e2f3a4b5c6,BoxUsage:t3.xlarge,20.15,0.1664,3.3526,0
2025-09-14,GCP,Cloud SQL,europe-west1,gcp-main-postgres-db,db-custom-2-7680,22.04,0.35,7.714,0
2025-09-14,AWS,EC2,eu-west-1,i-0b7e6d5c4b3a2,BoxUsage:t3.xlarge,17.98,0.1664,2.9912,0
2025-09-14,Azure,Azure Storage,westeurope,stappprodlogs001,BlobStorage-GB,977.78,0.02,19.5557,0
2025-09-14,AWS,EC2,us-east-1,i-0d1e2f3a4b5c6,BoxUsage:t3.xlarge,19.02,0.1664,3.1655,0
2025-09-15,AWS,RDS,ap-southeast-1,analytics-read-replica,InstanceUsage:db.m5.large,22.65,0.38,8.6078,0
2025-09-15,GCP,Compute Engine,europe-west1,gcp-k8s-worker-2,n2-standard-4,23.07,0.194,4.4762,0
2025-09-15,Azure,Azure VM,westeurope,vm-web-prod-01,Standard_D4s_v3,18.71,0.192,3.5915,0
2025-09-15,GCP,Cloud SQL,asia-east1,gcp-main-postgres-db,db-custom-2-7680,21.17,0.35,7.4097,0
2025-09-15,Azure,Azure Storage,eastus,stbackupdata002,BlobStorage-GB,1294.82,0.02,25.8964,0
2025-09-15,AWS,Lambda,us-east-1,image-resizer-worker,RequestCount,230172.68,2e-07,0.046,0
2025-09-15,Azure,Azure VM,westeurope,vm-web-prod-01,Standard_D4s_v3,20.54,0.192,3.9431,0
2025-09-15,Azure,Azure Storage,eastus,stappprodlogs001,BlobStorage-GB,940.55,0.02,18.811,0
2025-09-15,AWS,S3,eu-west-1,prod-analytics-data-dump,StandardStorage-GB,1016.78,0.023,23.3859,0
2025-09-15,GCP,Cloud SQL,us-central1,gcp-main-postgres-db,db-custom-2-7680,21.79,0.35,7.628,0
2025-09-15,Azure,Azure Storage,eastus,stbackupdata002,BlobStorage-GB,1156.71,0.02,23.1343,0
2025-09-15,Azure,Azure Storage,westeurope,stbackupdata002,BlobStorage-GB,637.92,0.02,12.7583,0
2025-09-15,GCP,Compute Engine,asia-east1,gcp-k8s-worker-1,n2-standard-4,19.95,0.194,3.8699,0
2025-09-15,Azure,Azure Storage,southeastasia,stappprodlogs001,BlobStorage-GB,1324.44,0.02,26.4887,0
2025-09-15,AWS,Lambda,us-west-2,event-processor,RequestCount,499359.45,2e-07,0.0999,0
2025-09-16,Azure,Azure VM,southeastasia,vm-api-prod-02,Standard_D4s_v3,17.65,0.192,3.3895,0
2025-09-16,GCP,Compute Engine,europe-west1,gcp-k8s-worker-1,n2-standard-4,20.73,0.194,4.0214,0
2025-09-16,GCP,Cloud SQL,europe-west1,gcp-main-postgres-db,db-custom-2-7680,23.25,0.35,8.1369,0
